preferred_identifier	preferred_label	evidence	source_file
MESH:D013871	Thiones	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D013882	Thiosemicarbazones	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D013885	Thiosulfates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014052	Toluidines	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014144	Tragacanth	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014216	Triacetoneamine-N-Oxyl	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014255	Trichothecenes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014281	Trihexosylceramides	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014301	Trinitrobenzenes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014317	Tritolyl Phosphates	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014326	Tropanes	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014436	Typhoid-Paratyphoid Vaccines	ikraph	ikraph_edges_cleaned.csv
MESH:D014468	Umbelliferones	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014577	Uroporphyrinogens	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014578	Uroporphyrins	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014704	Veratrum Alkaloids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D014748	Vinca Alkaloids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D015068	17-Ketosteroids	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D015070	18-Hydroxydesoxycorticosterone	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D015108	4-Hydroxyaminoquinoline-1-oxide	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D016566	Organoselenium Compounds	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D017392	Thiobarbituric Acid Reactive Substances	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D017553	Phosphorus Compounds	semmeddb	/Users/drshika2/RTX-KG2/merged_ikraph_semmeddb_v5_pubchem/semmeddb_relationships_neo4j.csv
MESH:D017633	Magnesium Silicates	ikraph	ikraph_edges_cleaned.csv
